name,radius,distance
MOA-2008-BLG-379L b,13.17,3600.00
MOA-2009-BLG-266L b,3.38,3040.00
MOA-2009-BLG-319 b,8.14,6100.00
MOA-2009-BLG-387L b,13.50,5700.00
MOA-2010-BLG-328L b,3.42,810.00
MOA-2010-BLG-477L b,13.74,2300.00
MOA-2011-BLG-293L b,13.23,7700.00
MOA-2011-BLG-322 b,12.96,7740.00
MOA-bin-1 b,13.34,5100.00
mu Ara b,13.69,15.30
mu Ara c,3.41,15.30
mu Ara d,14.23,15.30
mu Ara e,13.66,15.30
NGC 2423 3 b,12.89,766.00
NGC 4349 No 127 b,12.63,2176.00
NN Ser(AB) c,13.07,500.00
NN Ser(AB) d,13.55,500.00
nu Oph b,12.55,46.80
nu Oph c,12.50,46.80
NY Vir b,13.49,
OGLE-05-071L b,13.37,3300.00
OGLE-05-169L b,3.78,2700.00
OGLE-05-390L b,1.94,6500.00
OGLE-06-109L b,14.07,1510.00
OGLE-06-109L c,11.04,1510.00
OGLE-2007-BLG-368L b,5.15,5900.00
OGLE-2009-BLG-151_MOA-2009-232 b,12.97,390.00
OGLE-2011-BLG-0251 b,13.88,4090.00
OGLE-2011-BLG-0420 b,12.88,1990.00
OGLE-2012-BLG-0026L b,7.22,4080.00
OGLE-2012-BLG-0026L c,14.04,4080.00
OGLE-2012-BLG-0358L b,13.58,1760.00
OGLE-2012-BLG-0406L b,13.41,4970.00
OGLE-TR-10 b,19.26,1500.00
OGLE-TR-111 b,12.06,1500.00
OGLE-TR-113 b,12.43,1500.00
OGLE-TR-132 b,13.78,1500.00
OGLE-TR-182 b,16.46,
OGLE-TR-211 b,14.11,
OGLE-TR-56 b,13.44,1500.00
OGLE2-TR-L9 b,18.08,900.00
OGLE235-MOA53 b,13.50,5200.00
ome Ser b,13.62,80.60
omi CrB b,13.68,84.00
omi UMa b,13.23,56.30
Oph 11 b,12.60,145.00
PH1-Kepler-64 b,6.19,
POTS-1 b,10.54,
Pr0201 c,14.14,
Pr0211 b,13.59,
PSR 1257 12 b,0.30,710.00
PSR 1257 12 c,1.72,710.00
PSR 1257 12 d,1.66,710.00
PSR 1719-14 b,4.48,1200.00
PSR B1620-26 b,13.51,3800.00
Qatar-1 b,13.04,
Qatar-2 b,12.81,
Ross 458(AB) c,12.98,114.00
ROXs 42B b,12.83,135.00
RR Cae b,13.22,
SR 12 AB c,12.80,125.00
SWEEPS-04b,9.07,8500.00
SWEEPS-11b,12.66,8500.00
tau Boo b,13.14,15.60
tau Gem b,12.55,98.40
TrES-1b,12.31,157.00
TrES-2b,13.09,220.00
TrES-3b,14.62,
TrES-4b,19.11,479.00
TrES-5b,13.54,360.00
ups And b,14.15,13.47
ups And c,13.66,13.47
ups And d,12.91,13.47
ups And e,13.90,13.47
USco1602-2401 b,12.22,
USco1610-1913 b,12.56,
USco1612-1800 b,12.46,
UScoCTIO 108 b,12.72,145.00
UZ For(ab) d,12.96,
V391 Peg b,13.41,1400.00
WASP-1 b,16.62,
WASP-10 b,12.10,90.00
WASP-100 b,18.93,
WASP-101 b,15.79,
WASP-11-HAT-P-10 b,11.70,125.00
WASP-12 b,19.44,427.00
WASP-13 b,15.29,156.00
WASP-14 b,14.35,160.00
WASP-15 b,15.99,308.00
WASP-16 b,11.29,
WASP-17 b,22.30,
WASP-18 b,13.05,100.00
WASP-19 b,15.62,
WASP-2 b,12.08,144.00
WASP-20 b,10.08,
WASP-21 b,13.55,230.00
WASP-22 b,12.97,300.00
WASP-23 b,10.77,
WASP-24 b,12.36,330.00
WASP-25 b,14.11,169.00
WASP-26 b,14.35,250.00
WASP-28 b,12.54,334.00
WASP-29 b,9.42,80.00
WASP-3 b,16.28,223.00
WASP-31 b,17.21,400.00
WASP-32 b,13.22,
WASP-33 b,16.11,116.00
WASP-34 b,13.66,120.00
WASP-35 b,14.78,
WASP-36 b,14.21,450.00
WASP-37 b,12.72,338.00
WASP-38 b,12.08,110.00
WASP-39 b,14.22,230.00
WASP-4 b,15.62,300.00
WASP-41 b,13.55,180.00
WASP-42 b,12.10,
WASP-43 b,11.60,
WASP-44 b,12.77,
WASP-45 b,12.99,
WASP-46 b,14.67,
WASP-47 b,12.88,200.00
WASP-48 b,18.70,
WASP-49 b,12.49,
WASP-5 b,13.12,297.00
WASP-50 b,12.75,230.00
WASP-52 b,14.22,140.00
WASP-53 b,13.44,
WASP-54 b,15.68,
WASP-55 b,14.56,330.00
WASP-56 b,13.44,
WASP-57 b,12.32,
WASP-58 b,15.34,300.00
WASP-59 b,10.08,125.00
WASP-6 b,13.71,307.00
WASP-60 b,10.08,400.00
WASP-61 b,13.89,480.00
WASP-62 b,15.57,160.00
WASP-63 b,16.02,330.00
WASP-64 b,7.84,
WASP-65 b,12.45,310.00
WASP-66 b,15.57,380.00
WASP-67 b,15.68,225.00
WASP-68 b,10.08,
WASP-69 b,11.20,
WASP-7 b,14.90,140.00
WASP-70 b,8.96,
WASP-71 b,16.80,200.00
WASP-72 b,14.22,
WASP-75 b,14.22,260.00
WASP-76 b,20.50,120.00
WASP-77A b,13.55,
WASP-78 b,19.60,550.00
WASP-79 b,19.04,240.00
WASP-8 b,11.63,87.00
WASP-80 b,10.66,60.00
WASP-82 b,18.70,200.00
WASP-84 b,10.55,120.00
WASP-90 b,18.26,340.00
WASP-95 b,13.55,
WASP-96 b,13.44,
WASP-97 b,12.66,
WASP-98 b,12.32,
WASP-99 b,12.32,
WD 0806-661B b,13.01,19.20
WISE 1217+16A b,11.20,10.00
WISE 1711+3500 b,12.74,19.00
WTS-1 b,16.69,3200.00
WTS-2 b,14.56,1000.00
XO-1 b,13.26,200.00
XO-2 b,10.90,149.00
XO-3 b,13.63,260.00
XO-4 b,15.01,293.00
XO-5 b,11.54,255.00
